Rk,Player,BPM,G,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team
68,Mikal Bridges,0.9,615,PHI,1,10,2018,Villanova,2018-19,2025-26,22-29,615,548,0,48.3,119,114,29,19.3,0.113,0.6,0.3,0.9,15.3,14.6,3,10.3,6.6,12.3,1.7,1.6,8.9,17.8,F-G,"BRK,NYK,PHO"
69,Franz Wagner,0.9,319,ORL,1,8,2021,Michigan,2021-22,2025-26,20-24,319,317,0,24.1,114,114,12.7,11.4,0.112,1,0,0.9,7.7,17.2,3.5,13.9,8.6,19.1,1.6,1,10.2,25.2,G-F,ORL
70,Kyle O'Quinn,0.9,472,ORL,2,49,2012,Norfolk State,2012-13,2019-20,22-29,472,65,0,17.8,109,104,7.7,10.2,0.128,-0.9,1.8,0.9,5,17.9,10.3,25.4,17.9,14.8,1.4,5.5,16.5,18.4,F-C,"IND,NYK,ORL,PHI"
71,Paolo Banchero,0.9,245,ORL,1,1,2022,Duke,2022-23,2025-26,20-23,245,245,1,14.3,108,113,3.3,11,0.081,1.1,-0.2,0.9,6.3,17.2,3.6,21,12.1,22.5,1.1,1.6,12.5,29.3,F,ORL
72,Santi Aldama,0.9,278,UTA,1,30,2021,Loyola (MD),2021-22,2025-26,21-25,278,82,0,14.9,116,113,6.8,8.1,0.11,0.4,0.5,0.9,4.8,14.7,5.7,19.2,12.4,12.4,1.3,2.4,9.6,18,F-C,MEM
73,Nerlens Noel,0.9,467,NOH,1,6,2013,Kentucky,2014-15,2022-23,20-28,467,223,0,28.3,109,101,8.7,19.6,0.132,-1.8,2.7,0.9,7.4,16.5,9.3,21,15,7.8,2.8,5.7,16.9,14.9,C-F,"BRK,DAL,DET,NYK,OKC,PHI"
74,Kelly Olynyk,0.8,832,DAL,1,13,2013,Gonzaga,2013-14,2025-26,22-34,832,283,0,46.8,114,109,24.8,22,0.123,0,0.8,0.8,13,15.7,5.9,19.2,12.6,16.5,1.7,1.8,16,19.3,C-F,"BOS,DET,HOU,MIA,NOP,SAS,TOR,UTA"
75,Lonzo Ball,0.8,322,LAL,1,2,2017,UCLA,2017-18,2025-26,20-28,322,256,0,13.3,104,110,2,11.4,0.066,-0.3,1.1,0.8,6.9,13,3.5,15.3,9.4,25.2,2.4,1.7,17.9,17.7,G,"CHI,CLE,LAL,NOP"
76,Sandro Mamukelashvili,0.8,247,IND,2,54,2021,Seton Hall,2021-22,2025-26,22-26,247,26,0,9.5,122,115,5.9,3.6,0.133,1.2,-0.4,0.8,2.5,16.7,9.2,18.5,13.8,12,1.3,2.2,9.5,18.4,C-F,"MIL,SAS,TOR"
77,Jaren Jackson Jr.,0.8,455,MEM,1,4,2018,Michigan State,2018-19,2025-26,19-26,455,446,2,30.8,111,109,11.2,19.6,0.113,0,0.8,0.8,9.2,17.9,4.8,16,10.3,8.5,1.7,5.9,10.6,26.2,F,"MEM,UTA"
78,Jonathan Isaac,0.8,324,ORL,1,6,2017,Florida State,2017-18,2025-26,20-28,324,109,0,14.8,109,105,3.4,11.4,0.116,-1.1,1.8,0.8,4.3,15,7.5,19.7,13.5,5.8,2.3,5.7,10.1,16.3,F,ORL
79,Tari Eason,0.7,195,HOU,1,17,2022,Louisiana State,2022-23,2025-26,21-24,195,41,0,10.9,114,110,3.9,7,0.115,-0.2,1,0.7,3.1,16.4,10.3,19,14.6,8,2.9,2.7,11.2,19.5,F,HOU
80,Tyler Herro,0.7,375,MIA,1,13,2019,Kentucky,2019-20,2025-26,20-26,375,227,1,20.9,109,113,8.3,12.6,0.083,1.6,-0.8,0.7,8.4,16,1.5,15.8,8.7,20.5,1.1,0.6,11.6,26.3,G,MIA
81,Ty Jerome,0.7,236,PHI,1,24,2019,Virginia,2019-20,2025-26,22-28,236,17,0,10.7,118,115,6.9,3.9,0.12,0.6,0.2,0.7,3,15.5,2.5,9.6,6.1,23.7,2,0.5,11.5,20.4,G,"CLE,GSW,MEM,OKC,PHO"
82,Dwight Powell,0.7,746,CHA,2,45,2014,Stanford,2014-15,2025-26,23-34,746,261,0,49.5,132,110,34.2,15.2,0.181,-0.1,0.8,0.7,9.1,17,9.6,16.9,13.2,8.5,1.7,2.1,11.7,14.1,F-C,"BOS,DAL"
83,Neemias Queta,0.7,164,SAC,2,39,2021,Utah State,2021-22,2025-26,22-26,164,59,0,11,132,109,6.4,4.6,0.197,-0.5,1.3,0.7,1.9,18.7,13.3,21.2,17.3,8,1.5,5.1,12.9,14.9,C,"BOS,SAC"
84,Cason Wallace,0.7,206,DAL,1,10,2023,Kentucky,2023-24,2025-26,20-22,206,102,0,13,117,109,4.4,8.6,0.123,-1.5,2.2,0.7,3.5,12.1,3.8,8.8,6.4,10.8,3,1.7,10.1,13.3,G,OKC
85,Myles Turner,0.7,694,IND,1,11,2015,Texas,2015-16,2025-26,19-29,694,661,0,51.5,113,108,23.1,28.4,0.124,-0.2,0.9,0.7,13.6,17.1,5.4,20.4,13,6.5,1.2,6.5,10.6,19.9,C-F,"IND,MIL"
86,Victor Oladipo,0.7,504,ORL,1,2,2013,Indiana,2013-14,2022-23,21-30,504,397,2,25.6,103,107,6.8,18.8,0.076,0.2,0.4,0.7,11,16,2,13.6,7.7,19.6,2.5,1.2,13.7,25.2,G,"HOU,IND,MIA,OKC,ORL"
87,Josh Hart,0.7,577,UTA,1,30,2017,Villanova,2017-18,2025-26,22-30,577,322,0,40.8,118,112,21,19.8,0.111,-0.4,1.1,0.7,11.8,13.5,4.7,20.8,12.8,15,1.7,1,13.8,14.6,F-G,"LAL,NOP,NYK,POR"
88,Jeremy Lamb,0.6,573,HOU,1,12,2012,Connecticut,2012-13,2021-22,20-29,573,136,0,26.8,110,109,13.9,12.9,0.108,0.4,0.2,0.6,7.9,15.6,2.8,16.3,9.5,11.9,1.7,1.5,8,21.3,G-F,"CHO,IND,OKC,SAC"
89,Deandre Ayton,0.6,447,PHO,1,1,2018,Arizona,2018-19,2025-26,20-27,447,440,0,41.6,119,111,24,17.6,0.146,0.9,-0.3,0.6,9,19.8,10.9,26.6,18.7,8.2,1.1,2.8,11.5,20.7,C,"LAL,PHO,POR"
90,Khris Middleton,0.6,815,DET,2,39,2012,Texas A&M,2012-13,2025-26,21-34,815,708,3,58.5,112,110,34.1,24.4,0.113,0.8,-0.2,0.6,16.3,16.6,2.3,14.3,8.5,19.8,1.9,0.6,12.6,23.4,F-G,"DAL,DET,MIL,WAS"
91,John Collins,0.6,525,ATL,1,19,2017,Wake Forest,2017-18,2025-26,20-28,525,454,0,42.8,121,114,29.7,13,0.135,1.1,-0.5,0.6,9.9,18.6,8,21.3,14.7,7.8,1.1,3,10.8,20.6,F,"ATL,LAC,UTA"
92,Jaylen Brown,0.6,654,BOS,1,3,2016,California,2016-17,2025-26,20-29,654,547,5,45.4,110,110,18.6,26.8,0.108,0.8,-0.3,0.6,13.1,17.3,3.6,15.4,9.6,15,1.6,1.1,11.4,27.6,F-G,BOS
93,D'Angelo Russell,0.6,655,LAL,1,2,2015,Ohio State,2015-16,2025-26,19-29,655,539,1,26.6,107,114,13.1,13.4,0.066,1.7,-1.2,0.6,12.4,16.1,1.7,10.6,6.1,30.9,1.7,0.9,14.2,26.4,G,"BRK,DAL,GSW,LAL,MIN"
94,Zach LaVine,0.5,693,MIN,1,13,2014,UCLA,2014-15,2025-26,19-30,693,602,2,38.6,110,115,25.6,13,0.082,1.9,-1.4,0.5,14.6,17.2,1.5,12.3,6.8,19.4,1.3,0.8,12.9,26.9,G-F,"CHI,MIN,SAC"
95,Terrence Jones,0.5,234,HOU,1,18,2012,Kentucky,2012-13,2018-19,21-27,234,118,0,14.7,111,105,7.7,7,0.127,0.4,0.1,0.5,3.6,17.1,8,18.1,13.2,7,1.3,3.8,8.9,19.2,F,"HOU,MIL,NOP"
96,Jeff Withey,0.5,207,POR,2,39,2013,Kansas,2013-14,2017-18,23-27,207,15,0,6.8,118,103,3.7,3.1,0.157,-0.7,1.2,0.5,1.3,16.9,10.2,18.8,14.5,4.8,1.4,6.2,11.7,14.5,C,"DAL,NOP,UTA"
97,Isaiah Joe,0.5,371,PHI,2,49,2020,Arkansas,2020-21,2025-26,21-26,371,34,0,17.5,122,113,9.9,7.6,0.129,0.8,-0.3,0.5,4.1,13.3,2.4,10.4,6.5,8.9,1.5,0.8,7.1,17.2,G,"OKC,PHI"
